"Package","Version","install_source"
"base","3.5.1","R-install"
"boot","1.3-20","R-install"
"class","7.3-14","R-install"
"cluster","2.0.7-1","R-install"
"codetools","0.2-15","R-install"
"compiler","3.5.1","R-install"
"datasets","3.5.1","R-install"
"foreign","0.8-70","R-install"
"graphics","3.5.1","R-install"
"grDevices","3.5.1","R-install"
"grid","3.5.1","R-install"
"KernSmooth","2.23-15","R-install"
"lattice","0.20-35","R-install"
"MASS","7.3-50","R-install"
"Matrix","1.2-14","R-install"
"methods","3.5.1","R-install"
"mgcv","1.8-24","R-install"
"nlme","3.1-137","R-install"
"nnet","7.3-12","R-install"
"parallel","3.5.1","R-install"
"rpart","4.1-13","R-install"
"spatial","7.3-11","R-install"
"splines","3.5.1","R-install"
"stats","3.5.1","R-install"
"stats4","3.5.1","R-install"
"survival","2.42-3","R-install"
"tcltk","3.5.1","R-install"
"tools","3.5.1","R-install"
"translations","3.5.1","R-install"
"utils","3.5.1","R-install"
